Sample ID	Time 	ng/ul 	260/280 	260/230 
WT.T20	12:31 PM	214.43	1.96	2.37
WT.T48	12:32 PM	316.22	2.02	2.48
4302.T24	12:33 PM	244.83	1.95	2.38
4302.T40	12:34 PM	394.38	2.02	2.52
3D7.T16	12:35 PM	650.34	2.03	2.65
MT.T40	12:36 PM	179.65	2	2.51
WT.T0	12:40 PM	115.81	1.83	2.06
WT.T40	12:41 PM	315.08	1.99	2.6
WT.T56	12:42 PM	137.04	1.89	2.33
4302.T4	12:43 PM	140.16	1.84	2.18
4302.T48	12:45 PM	197.76	1.96	2.44
MT.T48	12:47 PM	162.5	1.96	2.42
WT.T12	12:55 PM	167.51	1.88	2.24
4302.T16	12:56 PM	340.5	2.01	2.51
3D7.T4	12:58 PM	263.72	1.92	2.34
3D7.T12	12:59 PM	148.08	1.83	2.18
3D7.T16	1:00 PM	165.54	1.89	2.35
WT.T8	1:01 PM	117	1.84	2.05
